system:index,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,fecha,fuente,humedal,mes,nubes_pct,sensor_id,.geo
20260102T152649_20260102T152651_T18PWT,1.0,0.17866213997567001,-1.0,0.5632027941223448,1.0,-0.026281532985517587,-1.0,0.6324378938777482,2026-01-02,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,7.784455,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260102T152649_20260102T152651_T18PWS,1.0,0.5719276160075774,-1.0,0.43563613564076253,1.0,-0.4805485292942102,-1.0,0.44236204425715925,2026-01-02,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,15.809451,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260107T152701_20260107T152834_T18PWT,1.0,0.25197250030515345,-1.0,0.5222665753329949,1.0,-0.06413507510781838,-1.0,0.6197516487442309,2026-01-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,6.869727,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260107T152701_20260107T152834_T18PWS,1.0,0.6110122893919094,-1.0,0.3809575642298662,1.0,-0.513774543310548,-1.0,0.4020364911161841,2026-01-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,2.098071,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260109T152711_20260109T152714_T18PWT,1.0,0.16273876345757746,-1.0,0.6261138521816297,1.0,-0.001769876091628407,-1.0,0.6862115167502847,2026-01-09,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,8.849353,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260117T152651_20260117T152830_T18PWT,1.0,0.3029527366447297,-1.0,0.4919220005119296,1.0,-0.08089567495958969,-1.0,0.6225400609794407,2026-01-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,7.936723,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260117T152651_20260117T152830_T18PWS,1.0,0.6432605037262172,-1.0,0.34937656253849486,1.0,-0.5369571812929659,-1.0,0.3808755726896297,2026-01-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,1.172283,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260120T153631_20260120T153625_T18PWT,1.0,0.25613778808194493,-1.0,0.46707190747838995,1.0,-0.13501497732593717,-1.0,0.49089687319674447,2026-01-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,4.695988,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260120T153631_20260120T153625_T18PWS,0.8923556942277691,0.4606197685149162,-0.5317286652078774,0.3229622021003163,0.6067653276955602,-0.3825869528263801,-1.0,0.3139476790159285,2026-01-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,6.809469,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260122T152649_20260122T152807_T18PWT,1.0,0.2914604082010607,-1.0,0.4962397465154855,1.0,-0.09948305625280136,-1.0,0.5948700408785099,2026-01-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,2.594757,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260122T152649_20260122T152807_T18PWS,1.0,0.6336172234743838,-1.0,0.3473141953917794,1.0,-0.5344926802583705,-1.0,0.37563274522301443,2026-01-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,9.845204,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260127T152651_20260127T152809_T18PWT,1.0,0.21695390046847268,-1.0,0.5188278837615822,1.0,-0.016533888666884697,-1.0,0.6171786263092223,2026-01-27,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,7.585032,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260127T152651_20260127T152809_T18PWS,0.9234706312454302,0.537589383903607,-0.6647398843930635,0.33605768349401843,0.7381818181818182,-0.4412023910228084,-0.82907023954527,0.3587578307285047,2026-01-27,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,8.192627,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260130T153621_20260130T153623_T18PWT,1.0,0.13284807318791253,-1.0,0.21897263646712684,1.0,-0.056182599517948684,-1.0,0.22669088415862587,2026-01-30,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,01,14.374819,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260204T153619_20260204T153627_T18PWT,1.0,0.1373012684000549,-1.0,0.5257596893970167,1.0,0.01395783133935861,-1.0,0.5730365249196316,2026-02-04,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,5.363776,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260204T153619_20260204T153627_T18PWS,1.0,0.5110295530462363,-1.0,0.46751698088376975,1.0,-0.45226950926925047,-1.0,0.451233448246957,2026-02-04,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,1.350442,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260209T153631_20260209T153626_T18PWT,1.0,0.17443081038008595,-1.0,0.5569543570495217,1.0,-0.053610188695362146,-1.0,0.5744569955158971,2026-02-09,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,14.784908,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260211T152649_20260211T152645_T18PWT,1.0,0.16634160332614248,-1.0,0.5673428081372375,1.0,-0.021112860701531812,-1.0,0.6242959340275703,2026-02-11,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,4.795725,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260211T152649_20260211T152645_T18PWS,0.9267416806320325,0.5659082746658902,-1.0,0.37284921675579225,1.0,-0.46893313684821564,-0.8305515239477503,0.38802184374820103,2026-02-11,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,8.985532,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260214T153619_20260214T153721_T18PWT,1.0,0.18750291717603132,-1.0,0.4630190496290843,1.0,-0.08551820618040348,-1.0,0.4723088411032929,2026-02-14,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,8.328769,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260216T152651_20260216T152654_T18PWT,1.0,0.15564241217165045,-1.0,0.5535161146054133,1.0,-0.013017129606148023,-1.0,0.6118181769494767,2026-02-16,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,19.8017,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260219T153631_20260219T153931_T18PWT,1.0,0.22401209555525325,-1.0,0.5211572545689681,1.0,-0.16079930040207013,-1.0,0.5011389077208406,2026-02-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,1.115198,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260219T153631_20260219T153931_T18PWS,1.0,0.49924751232255027,-1.0,0.4751314657622609,1.0,-0.4486083127109137,-1.0,0.4495624775982368,2026-02-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,4.776781,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260221T152649_20260221T152649_T18PWT,1.0,0.20104337401218758,-1.0,0.536897048496345,1.0,-0.05204095457884356,-1.0,0.5963363167622425,2026-02-21,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,7.363997,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260221T152649_20260221T152649_T18PWS,0.9284245166598107,0.5562624877664288,-0.8705035971223022,0.37255905428475916,0.8646616541353384,-0.46662957139122896,-0.8395585738539898,0.3808207326578991,2026-02-21,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,2.192112,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260224T153629_20260224T153623_T18PWT,1.0,0.21419546170253803,-1.0,0.384573242801704,1.0,-0.14791528597084347,-1.0,0.37287192742179937,2026-02-24,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,8.557587,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260226T152651_20260226T153009_T18PWS,1.0,0.6309401148812036,-0.3222748815165877,0.17726145215179903,0.3345971563981043,-0.5584572160905934,-0.8220283533260633,0.15037181848216213,2026-02-26,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,02,15.580493,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T153631_20260301T153658_T18PWT,0.9767827529021559,0.2746177378869662,-0.950920245398773,0.40119201176092245,0.9322033898305084,-0.22946554572703273,-1.0,0.38195375046149566,2026-03-01,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,2.564999,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260301T153631_20260301T153658_T18PWS,0.9721917306988657,0.49692671919654186,-0.6563876651982379,0.34074270844102084,0.7005758157389635,-0.4501107309394225,-1.0,0.3233473126841177,2026-03-01,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,3.201392,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260303T152649_20260303T152650_T18PWT,1.0,0.21171018773017,-1.0,0.4946033539769598,1.0,-0.06982684802908352,-1.0,0.5560719102139281,2026-03-03,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,4.102693,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260303T152649_20260303T152650_T18PWS,0.927519818799547,0.5419716096723368,-0.7941176470588235,0.36108600918195527,0.7965517241379311,-0.45846178938296056,-0.8456291509603303,0.3713252868540319,2026-03-03,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,12.041216,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260306T153629_20260306T153623_T18PWT,1.0,0.263721493408849,-1.0,0.443298289266103,1.0,-0.20909169329657293,-1.0,0.42539001869929516,2026-03-06,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,0.61717,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260306T153629_20260306T153623_T18PWS,0.954502960423808,0.4817315621967302,-0.873972602739726,0.35292713668088377,0.9012875536480687,-0.4259905777454091,-0.8744769874476988,0.338123488931609,2026-03-06,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,10.274296,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260308T152651_20260308T152743_T18PWT,1.0,0.19132117571932303,-1.0,0.5139690519990255,1.0,-0.06339247214672583,-1.0,0.5646891735689503,2026-03-08,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,5.498181,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260308T152651_20260308T152743_T18PWS,0.9550612800726282,0.5576028541857241,-1.0,0.3721818136542211,1.0,-0.47529471081270575,-0.8604933279417711,0.385000939624121,2026-03-08,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,2.575121,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260310T152711_20260310T152802_T18PWT,1.0,0.15992057777866936,-1.0,0.5329577846770026,1.0,-0.017947331344058442,-1.0,0.5961490936814061,2026-03-10,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,3.998509,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260311T153631_20260311T153627_T18PWT,1.0,0.2500974945516305,-1.0,0.4551209812853034,1.0,-0.19856797750119257,-1.0,0.4386372326657557,2026-03-11,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,2.473806,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260311T153631_20260311T153627_T18PWS,1.0,0.48444551032610456,-0.7219512195121951,0.3651578880274561,0.7605042016806722,-0.4384661934054368,-1.0,0.34810387346024063,2026-03-11,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,2.462239,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260313T152649_20260313T152649_T18PWT,1.0,0.1718666839781496,-1.0,0.49735443846029825,1.0,-0.030890235136171177,-1.0,0.5589204654723035,2026-03-13,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,6.471642,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260313T152649_20260313T152649_T18PWS,0.9375260308204915,0.5144533931222222,-1.0,0.378795374350852,1.0,-0.43376412233506006,-0.8401574803149606,0.3856371790214235,2026-03-13,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,6.760679,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260313T154011_20260313T154008_T18PWT,1.0,0.2393556144685907,-1.0,0.3796798443790039,1.0,-0.1870822948139494,-0.9408866995073891,0.36107916440854326,2026-03-13,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,10.462904,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260316T153619_20260316T153639_T18PWT,1.0,0.2437378796967569,-1.0,0.45924338561635974,1.0,-0.192581832498577,-1.0,0.43980214303400034,2026-03-16,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,0.508001,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260316T153619_20260316T153639_T18PWS,0.9437630870475621,0.47295833202772,-0.7386363636363636,0.3643800262105548,0.7960088691796009,-0.4223565428390117,-0.8558558558558559,0.34721154130433163,2026-03-16,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,1.357329,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260320T152711_20260320T152714_T18PWT,1.0,0.10708240945009435,-1.0,0.43705911956159915,1.0,0.013435584586030168,-1.0,0.49879867675957223,2026-03-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,12.81296,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260323T152649_20260323T152649_T18PWT,1.0,0.0761386841470785,-1.0,0.607811897285864,1.0,0.06687036757088706,-1.0,0.6649238481127987,2026-03-23,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,6.275975,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260326T153629_20260326T153623_T18PWT,1.0,0.24060226554161215,-1.0,0.44445424584766025,1.0,-0.17732210612219085,-1.0,0.4221958976153031,2026-03-26,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,4.550458,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260326T153629_20260326T153623_T18PWS,0.9767359887204794,0.41685644919000003,-1.0,0.39393453333493844,1.0,-0.3548200749520248,-0.8789030681509639,0.37948030684608886,2026-03-26,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,12.702078,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260330T152941_20260330T152941_T18PWT,1.0,0.10990098140645703,-1.0,0.5554657771560252,1.0,0.03037472819394484,-1.0,0.6137238644819274,2026-03-30,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,10.674528,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260330T152941_20260330T152941_T18PWS,1.0,0.5072653830877654,-1.0,0.4522793488114907,1.0,-0.44094255597682425,-1.0,0.4587372531739477,2026-03-30,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,10.274525,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260331T153631_20260331T153626_T18PWT,1.0,0.24589457582713264,-1.0,0.3992637554344056,1.0,-0.18974851806766316,-1.0,0.3800913634765288,2026-03-31,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,6.377607,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260331T153631_20260331T153626_T18PWS,1.0,0.4382168381102475,-0.6868884540117417,0.3556479986366142,0.7640117994100295,-0.39327885330591245,-0.929637526652452,0.3390344753545987,2026-03-31,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,03,9.918853,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260402T152649_20260402T152807_T18PWT,1.0,0.09465493678652372,-1.0,0.5047151064913727,1.0,0.046103456339076525,-1.0,0.5628015860711818,2026-04-02,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,12.326135,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260402T152649_20260402T152807_T18PWS,0.9169363538295577,0.4103862823041131,-0.9377431906614786,0.36593128579544515,0.9386973180076629,-0.3343675513643489,-0.8166638268870335,0.37373817577768415,2026-04-02,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,12.470199,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260405T153629_20260405T153631_T18PWT,1.0,0.2564889749026926,-1.0,0.4051747472019703,1.0,-0.21462544944219725,-1.0,0.37770018241255493,2026-04-05,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,5.282267,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260405T153629_20260405T153631_T18PWS,0.9589681088767013,0.4477431108037356,-0.536723163841808,0.325545405264699,0.6038647342995169,-0.4087552706995385,-0.8736721217341372,0.2990418243739588,2026-04-05,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,1.35464,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260410T153621_20260410T153622_T18PWT,1.0,0.2512473991851849,-1.0,0.40201981437883366,1.0,-0.20926327972908756,-1.0,0.3751269174585891,2026-04-10,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,2.110293,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260410T153621_20260410T153622_T18PWS,1.0,0.44412350879373896,-0.9407008086253369,0.35943154499402574,0.9491916859122402,-0.40395468400643875,-1.0,0.337301224392482,2026-04-10,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,10.647351,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260412T152649_20260412T152650_T18PWT,1.0,0.12629784950896644,-1.0,0.44531947949749523,1.0,0.0035994172061111864,-1.0,0.5002672694205866,2026-04-12,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,9.101403,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260412T152649_20260412T152650_T18PWS,1.0,0.46119870968131654,-1.0,0.39431251864356753,1.0,-0.38844563075609867,-0.9130434782608695,0.4020514106743494,2026-04-12,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,16.143,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260415T153619_20260415T153622_T18PWT,1.0,0.17963546746349845,-0.5196078431372549,0.30045994400338416,0.656140350877193,-0.13700379372852634,-0.9426008968609866,0.27704877296318237,2026-04-15,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,14.56755,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260417T152651_20260417T152652_T18PWT,1.0,0.10346315560505066,-1.0,0.477925215331777,1.0,0.03820875580597971,-1.0,0.5405506692507398,2026-04-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,13.315146,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260419T152941_20260419T152939_T18PWT,1.0,0.1457709658748821,-1.0,0.5361426587205815,1.0,-0.002753753650907531,-1.0,0.5977835968405818,2026-04-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,11.812095,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260419T152941_20260419T152939_T18PWS,1.0,0.498753279963848,-1.0,0.4715215905033561,1.0,-0.42927259021986053,-1.0,0.4774138449980702,2026-04-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,7.382203,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260420T153631_20260420T153813_T18PWS,1.0,0.4205700350268349,-0.9166666666666666,0.3471988004444261,0.9342560553633218,-0.3741711965167557,-1.0,0.33849565321983466,2026-04-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,04,17.661238,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260507T152651_20260507T152653_T18PWT,0.9371035940803383,0.1576301951076731,-1.0,0.4485953330016117,1.0,-0.027951437984423847,-0.8894472361809045,0.5036213236497262,2026-05-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,7.146601,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260507T152651_20260507T152653_T18PWS,1.0,0.49560390325212533,-1.0,0.4087121498991997,1.0,-0.4116670008501564,-1.0,0.41247619133009644,2026-05-07,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,9.517299,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260509T152931_20260509T152934_T18PWT,1.0,0.18853828709558754,-1.0,0.5269087163537435,1.0,-0.056562187800241574,-1.0,0.5844702707242535,2026-05-09,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,2.443073,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260510T153631_20260510T153929_T18PWT,1.0,0.2750252881020575,-1.0,0.43532753703638916,1.0,-0.2150018677916899,-1.0,0.41818124487224184,2026-05-10,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,10.522736,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260515T153619_20260515T153852_T18PWT,1.0,0.23857082579822175,-1.0,0.4797615021655146,1.0,-0.1768190997679585,-1.0,0.459398142677877,2026-05-15,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,3.21782,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260515T153619_20260515T153852_T18PWS,0.9908675799086758,0.47361243725380353,-0.9017013232514177,0.3708725410042097,0.9221556886227545,-0.3989618550987593,-0.8793103448275862,0.3695198444296856,2026-05-15,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,8.042604,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260517T152651_20260517T152804_T18PWT,1.0,0.19014029847303193,-0.9297520661157025,0.4509961866231253,0.943801652892562,-0.0640274322747135,-1.0,0.5059863170571027,2026-05-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,6.680781,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260517T152651_20260517T152804_T18PWS,0.9927184466019418,0.4903820240669041,-1.0,0.4071340130029043,1.0,-0.4023302923914823,-0.9517102615694165,0.418561465141886,2026-05-17,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,14.84556,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260519T152711_20260519T152708_T18PWT,1.0,0.18887832982279937,-1.0,0.5041484757102752,1.0,-0.04790679972266969,-1.0,0.5633734743457639,2026-05-19,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,4.162712,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260520T153621_20260520T153624_T18PWT,1.0,0.23874063951891392,-1.0,0.49683547611955675,1.0,-0.17835089626295925,-1.0,0.48000541156102794,2026-05-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,1.12523,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260520T153621_20260520T153624_T18PWS,0.9432150313152401,0.46517966295055413,-0.9012987012987013,0.3692522425010035,0.9274809160305344,-0.4019334346998302,-0.908485856905158,0.3640448942933265,2026-05-20,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,0.725689,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260522T152649_20260522T152648_T18PWT,0.9443176631675034,0.09685534676444053,-1.0,0.449549748229236,1.0,0.044765306300505986,-0.8488271068635969,0.503393954415234,2026-05-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,16.528754,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260522T152649_20260522T152648_T18PWS,1.0,0.4602664407179989,-1.0,0.4296437099673107,1.0,-0.36705014497533156,-1.0,0.43561801004336204,2026-05-22,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,15.41848,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260525T153619_20260525T153851_T18PWT,1.0,0.25244395047983803,-1.0,0.41808678062851595,1.0,-0.18631223422223359,-1.0,0.4038835408733657,2026-05-25,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,2.010805,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260525T153619_20260525T153851_T18PWS,0.919732441471572,0.39907050355379353,-0.8371040723981901,0.3705512756964416,0.88,-0.3304700250372189,-0.8201777313120753,0.36341697952271623,2026-05-25,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,05,6.398639,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20260601T152649_20260601T152648_T18PWT,1.0,0.1693024491174558,-1.0,0.5484168773559245,1.0,-0.015120156207428861,-1.0,0.6080747754277619,2026-06-01,Sentinel-2 SR Harmonized,Cienaga Grande de Santa Marta,06,8.620436,SENTINEL2-GEE-001,"{""type"":""MultiPoint"",""coordinates"":[]}"
